Length error: 0.618541, Total energy: -1420.1641
Length error: 0.6065394, Total energy: -1418.9348
Length error: 0.59042645, Total energy: -1416.9718
Length error: 0.57081175, Total energy: -1414.4081
Length error: 0.5484657, Total energy: -1411.4208
Length error: 0.5242733, Total energy: -1408.2095
Length error: 0.499192, Total energy: -1404.9702
Length error: 0.474196, Total energy: -1401.8749
Length error: 0.45021594, Total energy: -1399.0579
Length error: 0.42809474, Total energy: -1396.614
Length error: 0.40853834, Total energy: -1394.5991
Length error: 0.39210176, Total energy: -1393.0393
Length error: 0.37917203, Total energy: -1391.938
Length error: 0.36998528, Total energy: -1391.2845
Length error: 0.36463377, Total energy: -1391.0614
Length error: 0.3630883, Total energy: -1391.2494
Length error: 0.36520815, Total energy: -1391.8286
Length error: 0.37076628, Total energy: -1392.7803
Length error: 0.37945044, Total energy: -1394.0864
Length error: 0.39088115, Total energy: -1395.7258
Length error: 0.40461326, Total energy: -1397.6729
Length error: 0.42015463, Total energy: -1399.8948
Length error: 0.43697608, Total energy: -1402.3479
Length error: 0.45453197, Total energy: -1404.9794
Length error: 0.47227603, Total energy: -1407.7247
Length error: 0.48969558, Total energy: -1410.5131
Length error: 0.50631547, Total energy: -1413.2678
Length error: 0.52173245, Total energy: -1415.9146
Length error: 0.5356019, Total energy: -1418.3846
Length error: 0.5476434, Total energy: -1420.6161
Length error: 0.5576186, Total energy: -1422.5577
Length error: 0.5653314, Total energy: -1424.1667
Length error: 0.5706052, Total energy: -1425.4084
Length error: 0.5733051, Total energy: -1426.2543
Length error: 0.57333946, Total energy: -1426.6843
Length error: 0.57068765, Total energy: -1426.6898
Length error: 0.5654093, Total energy: -1426.2756
Length error: 0.5576532, Total energy: -1425.4648
Length error: 0.5476523, Total energy: -1424.2983
Length error: 0.5357177, Total energy: -1422.8347
Length error: 0.5222249, Total energy: -1421.1453
Length error: 0.5075992, Total energy: -1419.3108
Length error: 0.49230534, Total energy: -1417.4138
Length error: 0.47682342, Total energy: -1415.534
Length error: 0.46163324, Total energy: -1413.7428
Length error: 0.44719762, Total energy: -1412.1012
Length error: 0.43394518, Total energy: -1410.6576
Length error: 0.4222508, Total energy: -1409.4478
Length error: 0.41243088, Total energy: -1408.4972
Length error: 0.404737, Total energy: -1407.8213
Length error: 0.399347, Total energy: -1407.4287
Length error: 0.3963701, Total energy: -1407.3218
Length error: 0.39584208, Total energy: -1407.4993
Length error: 0.39773166, Total energy: -1407.9559
Length error: 0.40193975, Total energy: -1408.6838
Length error: 0.40830034, Total energy: -1409.6711
Length error: 0.41659328, Total energy: -1410.9021
Length error: 0.426543, Total energy: -1412.3558
Length error: 0.43783104, Total energy: -1414.0056
Length error: 0.4501058, Total energy: -1415.8182
Length error: 0.46299282, Total energy: -1417.7532
Length error: 0.47610506, Total energy: -1419.7649
Length error: 0.48906055, Total energy: -1421.801
Length error: 0.501482, Total energy: -1423.8069
Length error: 0.51301455, Total energy: -1425.7255
Length error: 0.5233216, Total energy: -1427.5004
Length error: 0.5321022, Total energy: -1429.0767
Length error: 0.53909206, Total energy: -1430.4048
Length error: 0.5440674, Total energy: -1431.441
Length error: 0.54686725, Total energy: -1432.1521
Length error: 0.54739124, Total energy: -1432.5153
Length error: 0.54561687, Total energy: -1432.5221
Length error: 0.54159915, Total energy: -1432.18
Length error: 0.5354812, Total energy: -1431.5127
Length error: 0.5274794, Total energy: -1430.559
Length error: 0.51788163, Total energy: -1429.3705
Length error: 0.5070332, Total energy: -1428.0085
Length error: 0.49531597, Total energy: -1426.5393
Length error: 0.48313844, Total energy: -1425.0294
Length error: 0.47091952, Total energy: -1423.542
Length error: 0.45905793, Total energy: -1422.1349
Length error: 0.44793722, Total energy: -1420.8551
Length error: 0.4378958, Total energy: -1419.742
Length error: 0.42922634, Total energy: -1418.8241
Length error: 0.42216212, Total energy: -1418.1224
Length error: 0.41687787, Total energy: -1417.649
Length error: 0.41348648, Total energy: -1417.4098
Length error: 0.41203177, Total energy: -1417.4058
Length error: 0.41250536, Total energy: -1417.6326
Length error: 0.414836, Total energy: -1418.0825
Length error: 0.41889727, Total energy: -1418.7438
Length error: 0.4245215, Total energy: -1419.6005
Length error: 0.4314927, Total energy: -1420.6334
Length error: 0.43956992, Total energy: -1421.8192
Length error: 0.4484816, Total energy: -1423.1294
Length error: 0.45794374, Total energy: -1424.533
Length error: 0.467662, Total energy: -1425.9941
Length error: 0.4773475, Total energy: -1427.476
Length error: 0.48671728, Total energy: -1428.9384
Length error: 0.49550405, Total energy: -1430.3414
Length error: 0.50346035, Total energy: -1431.6465
Length error: 0.51036596, Total energy: -1432.8167
Length error: 0.5160283, Total energy: -1433.8187
Length error: 0.520287, Total energy: -1434.624
Length error: 0.52302235, Total energy: -1435.2104
Length error: 0.52415997, Total energy: -1435.5621
Length error: 0.5236672, Total energy: -1435.6724
Length error: 0.5215734, Total energy: -1435.5428
Length error: 0.5179483, Total energy: -1435.185
Length error: 0.51292396, Total energy: -1434.6201
Length error: 0.50667316, Total energy: -1433.8767
Length error: 0.4994111, Total energy: -1432.9906
Length error: 0.4913869, Total energy: -1432.0029
Length error: 0.4828713, Total energy: -1430.9557
