Length error: 0.0015495867, Total energy: -1002.375
Length error: 0.012999713, Total energy: -1004.7686
Length error: 0.043418095, Total energy: -1007.3297
Length error: 0.09261252, Total energy: -1010.2927
Length error: 0.15851937, Total energy: -1013.77783
Length error: 0.24283943, Total energy: -1017.973
Length error: 0.34721935, Total energy: -1023.12366
Length error: 0.4723596, Total energy: -1029.4552
Length error: 0.61864156, Total energy: -1037.1965
Length error: 0.78627676, Total energy: -1046.5836
Length error: 0.97525626, Total energy: -1057.8503
Length error: 1.1853318, Total energy: -1071.2325
Length error: 1.4160049, Total energy: -1086.9663
Length error: 1.666507, Total energy: -1105.2837
Length error: 1.935806, Total energy: -1126.4124
Length error: 2.2226186, Total energy: -1150.5685
Length error: 2.5254502, Total energy: -1177.9542
Length error: 2.8426685, Total energy: -1208.7495
Length error: 3.1726322, Total energy: -1243.1112
Length error: 3.5138693, Total energy: -1281.1737
Length error: 3.8653138, Total energy: -1323.0537
Length error: 4.226533, Total energy: -1368.8641
Length error: 4.597913, Total energy: -1418.7275
Length error: 4.980685, Total energy: -1472.7874
Length error: 5.376763, Total energy: -1531.2197
Length error: 5.7883177, Total energy: -1594.231
Length error: 6.217033, Total energy: -1662.0441
Length error: 6.662767, Total energy: -1734.8444
Length error: 7.1209984, Total energy: -1812.6063
Length error: 7.580523, Total energy: -1894.7493
Length error: 8.025706, Total energy: -1979.9023
Length error: 8.442073, Total energy: -2066.1646
Length error: 8.81972, Total energy: -2151.6016
Length error: 9.153492, Total energy: -2234.58
Length error: 9.441883, Total energy: -2313.8496
Length error: 9.685818, Total energy: -2388.476
Length error: 9.887683, Total energy: -2457.7295
Length error: 10.050575, Total energy: -2520.9897
Length error: 10.177753, Total energy: -2577.6868
Length error: 10.272312, Total energy: -2627.2744
Length error: 10.336966, Total energy: -2669.2222
Length error: 10.37396, Total energy: -2703.0146
Length error: 10.385103, Total energy: -2728.1501
Length error: 10.371774, Total energy: -2744.134
Length error: 10.335012, Total energy: -2750.4653
Length error: 10.275534, Total energy: -2746.6245
Length error: 10.193823, Total energy: -2732.0715
Length error: 10.090165, Total energy: -2706.3325
Length error: 9.964693, Total energy: -2669.34
Length error: 9.817468, Total energy: -2621.965
Length error: 9.648383, Total energy: -2566.0527
Length error: 9.457056, Total energy: -2503.767
Length error: 9.242781, Total energy: -2436.9185
Length error: 9.004679, Total energy: -2366.7595
Length error: 8.741975, Total energy: -2294.141
Length error: 8.454285, Total energy: -2219.7659
Length error: 8.141788, Total energy: -2144.3523
Length error: 7.805314, Total energy: -2068.6985
Length error: 7.4463215, Total energy: -1993.6632
Length error: 7.06686, Total energy: -1920.12
Length error: 6.669529, Total energy: -1848.9117
Length error: 6.257405, Total energy: -1780.8112
Length error: 5.8339887, Total energy: -1716.4949
Length error: 5.403132, Total energy: -1656.5239
Length error: 4.9689307, Total energy: -1601.3297
Length error: 4.5356135, Total energy: -1551.2031
Length error: 4.107409, Total energy: -1506.2893
Length error: 3.6884024, Total energy: -1466.5928
Length error: 3.282404, Total energy: -1431.9896
Length error: 2.8928459, Total energy: -1402.2501
Length error: 2.5227075, Total energy: -1377.067
Length error: 2.1745045, Total energy: -1356.0835
Length error: 1.8503174, Total energy: -1338.9171
Length error: 1.5518931, Total energy: -1325.1779
Length error: 1.2807635, Total energy: -1314.4779
Length error: 1.0383962, Total energy: -1306.4371
Length error: 0.82632464, Total energy: -1300.6835
Length error: 0.64624006, Total energy: -1296.8552
Length error: 0.5015767, Total energy: -1294.6055
Length error: 0.4054852, Total energy: -1293.6111
Length error: 0.33494478, Total energy: -1293.5896
Length error: 0.28975967, Total energy: -1294.3171
Length error: 0.27994585, Total energy: -1295.6451
Length error: 0.31320643, Total energy: -1297.5028
Length error: 0.37426734, Total energy: -1299.8907
Length error: 0.45681953, Total energy: -1302.8699
Length error: 0.55456054, Total energy: -1306.555
Length error: 0.66207534, Total energy: -1311.1061
Length error: 0.7752821, Total energy: -1316.7053
Length error: 0.8915576, Total energy: -1323.5206
Length error: 1.009722, Total energy: -1331.6677
Length error: 1.1299671, Total energy: -1341.1781
Length error: 1.2537061, Total energy: -1351.992
Length error: 1.383301, Total energy: -1363.9838
Length error: 1.5216969, Total energy: -1377.0177
Length error: 1.6720278, Total energy: -1391.0134
Length error: 1.8370819, Total energy: -1405.9907
Length error: 2.0184498, Total energy: -1422.0836
Length error: 2.216599, Total energy: -1439.5244
Length error: 2.430026, Total energy: -1458.6106
Length error: 2.6565492, Total energy: -1479.6238
Length error: 2.8938794, Total energy: -1502.8596
