Length error: 0.029975072, Total energy: -1337.5596
Length error: 0.030094638, Total energy: -1337.976
Length error: 0.03042321, Total energy: -1338.4146
Length error: 0.030949697, Total energy: -1338.8755
Length error: 0.031658724, Total energy: -1339.3591
Length error: 0.03252746, Total energy: -1339.8663
Length error: 0.033532217, Total energy: -1340.3987
Length error: 0.034639552, Total energy: -1340.9568
Length error: 0.035819054, Total energy: -1341.5413
Length error: 0.037032798, Total energy: -1342.1521
Length error: 0.03823918, Total energy: -1342.7861
Length error: 0.03939171, Total energy: -1343.4397
Length error: 0.040441558, Total energy: -1344.1045
Length error: 0.04133588, Total energy: -1344.7692
Length error: 0.042022914, Total energy: -1345.4198
Length error: 0.04246241, Total energy: -1346.0417
Length error: 0.042629406, Total energy: -1346.6198
Length error: 0.04251854, Total energy: -1347.1437
Length error: 0.04215491, Total energy: -1347.6088
Length error: 0.041577473, Total energy: -1348.0154
Length error: 0.04083526, Total energy: -1348.3689
Length error: 0.03997831, Total energy: -1348.6771
Length error: 0.03904994, Total energy: -1348.9489
Length error: 0.038085505, Total energy: -1349.1919
Length error: 0.037111774, Total energy: -1349.414
Length error: 0.036150455, Total energy: -1349.6222
Length error: 0.0352246, Total energy: -1349.8232
Length error: 0.03435649, Total energy: -1350.023
Length error: 0.033567563, Total energy: -1350.2272
Length error: 0.032879412, Total energy: -1350.4407
Length error: 0.03231269, Total energy: -1350.6663
Length error: 0.031881243, Total energy: -1350.9075
Length error: 0.031599134, Total energy: -1351.1652
Length error: 0.031473428, Total energy: -1351.4402
Length error: 0.031506747, Total energy: -1351.7324
Length error: 0.03169474, Total energy: -1352.0415
Length error: 0.032031924, Total energy: -1352.3673
Length error: 0.0325059, Total energy: -1352.7094
Length error: 0.03310284, Total energy: -1353.0676
Length error: 0.033800095, Total energy: -1353.4414
Length error: 0.034576386, Total energy: -1353.8301
Length error: 0.03540705, Total energy: -1354.2334
Length error: 0.036263123, Total energy: -1354.6492
Length error: 0.037116364, Total energy: -1355.0752
Length error: 0.03793323, Total energy: -1355.5083
Length error: 0.03868133, Total energy: -1355.9438
Length error: 0.039329186, Total energy: -1356.3755
Length error: 0.039844126, Total energy: -1356.7965
Length error: 0.04020083, Total energy: -1357.1987
Length error: 0.040385008, Total energy: -1357.5757
Length error: 0.04038702, Total energy: -1357.9218
Length error: 0.040213645, Total energy: -1358.2332
Length error: 0.039882332, Total energy: -1358.5098
Length error: 0.03941743, Total energy: -1358.7528
Length error: 0.038846344, Total energy: -1358.9658
Length error: 0.03820023, Total energy: -1359.1542
Length error: 0.03750752, Total energy: -1359.3223
Length error: 0.036791608, Total energy: -1359.476
Length error: 0.036076397, Total energy: -1359.6205
Length error: 0.0353819, Total energy: -1359.7599
Length error: 0.034727916, Total energy: -1359.8992
Length error: 0.034129605, Total energy: -1360.0419
Length error: 0.03360507, Total energy: -1360.1913
Length error: 0.033167303, Total energy: -1360.3501
Length error: 0.032829925, Total energy: -1360.5197
Length error: 0.03259924, Total energy: -1360.7018
Length error: 0.03248495, Total energy: -1360.8969
Length error: 0.032489747, Total energy: -1361.1053
Length error: 0.032607764, Total energy: -1361.3267
Length error: 0.032838285, Total energy: -1361.5608
Length error: 0.03317015, Total energy: -1361.8066
Length error: 0.033594787, Total energy: -1362.0642
Length error: 0.0340956, Total energy: -1362.332
Length error: 0.03465511, Total energy: -1362.6095
Length error: 0.035253182, Total energy: -1362.895
Length error: 0.035870537, Total energy: -1363.1875
Length error: 0.03648497, Total energy: -1363.4843
Length error: 0.037070826, Total energy: -1363.7828
Length error: 0.03760813, Total energy: -1364.0801
Length error: 0.03807363, Total energy: -1364.3718
Length error: 0.03844793, Total energy: -1364.655
Length error: 0.03871581, Total energy: -1364.9247
Length error: 0.03886658, Total energy: -1365.1775
Length error: 0.03889489, Total energy: -1365.4105
Length error: 0.038805485, Total energy: -1365.6222
Length error: 0.0386032, Total energy: -1365.812
Length error: 0.038301617, Total energy: -1365.9806
Length error: 0.037918806, Total energy: -1366.1296
Length error: 0.037472144, Total energy: -1366.2622
Length error: 0.03698021, Total energy: -1366.3809
Length error: 0.036462918, Total energy: -1366.4897
